time,latitude,longitude,depth,mag
2006-01-03T12:27:57.670Z,13.841,145.287,78.2,5.8
2006-01-18T14:25:27.590Z,37.774,142.131,25.8,5.7
2006-01-23T06:02:58.140Z,-17.391,167.715,23,6.4
2006-02-02T07:13:11.440Z,-21.178,169.609,44.7,5.6
2006-02-03T04:37:36.360Z,36.156,141.449,28,5.7
2006-02-06T03:04:03.790Z,-6.05,150.013,34.9,5.6
2006-02-06T05:51:33.070Z,56.188,164.198,24.9,5.7
2006-02-07T10:14:27.340Z,-18.235,168.09,59.1,5.6
2006-02-14T15:27:23.340Z,20.821,146.18,40,6.3
2006-02-18T15:53:34.570Z,-16.797,167.207,22,5.9
2006-02-18T15:59:22.090Z,-5.193,152.053,44.2,6.2
2006-02-24T03:00:20.810Z,-10.628,164.384,41.3,5.5
2006-03-01T11:04:12.190Z,13.459,120.515,22.3,5.8
2006-03-07T06:28:55.050Z,-14.805,167.368,136.2,6.2
2006-03-12T20:54:53.490Z,-5.075,153.657,47.3,5.8
2006-03-14T06:57:33.860Z,-3.595,127.214,30.1,6.7
2006-03-15T05:27:54.370Z,-16.871,167.242,29.9,5.6
2006-03-17T13:48:16.560Z,-4.822,149.744,22.8,5.6
2006-03-17T14:21:35.040Z,-5.119,123.107,0.9,5.6
2006-03-19T10:56:37.690Z,-22.303,170.532,9.2,5.5
2006-03-20T14:17:58.330Z,-5.809,151.195,25.9,5.5
2006-03-24T12:27:05.380Z,-3.245,143.144,12,6.1
2006-03-27T02:50:26.370Z,32.602,132.157,34.8,5.5
2006-03-27T23:43:39.000Z,12.078,121.401,32.1,5.6
2006-03-31T21:14:45.200Z,3.798,126.344,37,6.2
2006-04-01T10:02:19.570Z,22.868,121.278,9,6.1
2006-04-01T21:44:29.870Z,3.782,126.407,45.5,5.6
2006-04-03T19:12:47.280Z,-10.853,165.934,49.8,5.5
2006-04-07T15:00:02.100Z,44.88,150.373,65.4,5.5
2006-04-12T01:06:58.690Z,56.397,163.99,28.8,6
2006-04-15T22:40:54.230Z,22.802,121.362,18,5.9
2006-04-17T23:49:56.870Z,-12.475,166.508,16,6.1
2006-04-20T17:50:40.450Z,34.858,139.207,22.6,5.6
2006-04-29T04:06:13.020Z,-11.211,118.349,23,5.8
2006-04-30T08:17:34.860Z,-15.103,167.441,127.7,6.1
2006-05-18T23:04:44.990Z,54.627,163.857,30,5.7
2006-05-19T14:44:24.900Z,-0.143,124.713,35,6.3
2006-05-22T20:53:57.410Z,-4.715,126.811,2.8,6.1
2006-05-24T09:10:26.970Z,-20.376,168.925,37.9,5.5
2006-05-24T09:45:34.340Z,-20.423,168.945,40.2,5.5
2006-05-24T10:11:07.770Z,-2.246,139.154,30,5.7
2006-05-24T16:47:40.320Z,-20.295,168.818,10,5.5
2006-05-26T22:53:58.920Z,-7.961,110.446,12.5,6.3
2006-05-28T03:12:08.760Z,-5.724,151.133,34,6.5
2006-05-28T09:00:12.450Z,19.162,121.179,23.2,5.7
2006-05-29T12:12:13.800Z,-7.94,154.628,27,5.5
2006-05-30T03:28:50.010Z,-3.749,140.065,12,5.9
2006-06-11T20:01:26.350Z,33.134,131.145,140,6.3
2006-06-15T04:28:02.290Z,1.454,126.304,27.9,5.6
2006-06-16T02:56:17.000Z,1.281,121.799,25.7,5.6
2006-06-16T17:10:40.300Z,40.349,143.712,30,5.5
2006-06-16T20:19:21.390Z,40.329,143.612,28.8,5.5
2006-06-22T10:53:11.570Z,45.417,149.343,95,6
2006-06-24T21:15:00.920Z,-0.39,123.195,26,6.3
2006-06-30T08:07:40.110Z,-6.257,154.799,60.2,5.6
2006-07-01T23:15:10.150Z,0.85,126.919,56.3,5.5
2006-07-06T15:11:36.720Z,-10.483,165.117,66.6,5.7
2006-07-12T19:08:12.340Z,-5.993,148.52,49.7,5.7
2006-07-18T03:27:52.570Z,-0.177,124.944,37,5.5
2006-07-19T11:48:58.290Z,-5.474,150.684,28.2,6.4
2006-07-19T18:08:57.860Z,-5.328,150.691,10,5.9
2006-07-23T08:22:04.160Z,-0.336,123.286,28,6
2006-07-27T01:01:42.010Z,10.411,142.031,26.5,5.5
2006-07-28T07:40:11.840Z,24.183,122.526,33,5.9
2006-08-02T14:45:04.630Z,-11.167,116.85,15,5.9
